seller_id,profit_estimate,value_em,user_created,booth_created,first_sale,days_to_sale,country,state,city,committed,year_sales,year_amount,year_fvf,items_for_sale,sales,source_em,entry_source_em,inventory_source_em,entry_url,entry_query
14256080,45.00,minnow,9/17/15,9/17/15,9/22/15,5,US,PA,Lebanon,TRUE,13.00,697.64,40.86,89,72,organic,,1,,
14570970,16.00,minnow,10/9/15,10/9/15,11/11/15,33,US,OH,Grove City,FALSE,0.00,0.00,0.00,0,17,organic,,,,
14943394,4944.00,dolphin,11/5/15,11/5/15,11/16/15,11,US,AZ,Phoenix,TRUE,103.00,20757.56,2760.75,189,214,organic,,1,,
17165370,0.00,minnow,3/24/16,1/11/19,,NaN,KZ,,kapshagay.,TRUE,0.00,0.00,0.00,46,0,organic,0,1,https://www.google.com/,
18350836,-3.00,minnow,4/18/16,12/13/18,,NaN,US,TX,Rockwall,TRUE,0.00,0.00,0.00,141,0,organic,0,5,https://www.google.com/,
18537898,54.00,minnow,5/1/16,5/1/16,5/4/16,3,US,CA,Highland,TRUE,11.00,374.93,37.71,1358,36,organic,,1,,
18918111,-1.00,minnow,5/26/16,5/26/16,9/1/18,828,CA,,Montreal,TRUE,4.00,41.85,3.78,90,4,organic,6,1,https://www.google.ca/,Marketplaces
18991621,1211.00,dolphin,5/31/16,5/31/16,6/14/16,14,US,CA,CHATSWORTH,TRUE,49.00,3125.41,228.84,28130,228,organic,-1,1,Direct,
19171705,-13.00,minnow,6/11/16,6/11/16,7/7/16,26,US,TX,Kingwood,FALSE,2.00,154.79,13.93,0,9,organic,,1,,
19478033,188.00,minnow,6/30/16,6/30/16,7/18/16,18,US,TN,Memphis,TRUE,12.00,596.98,113.18,992,31,organic,,4,,
19671233,161.00,minnow,7/12/16,7/12/16,7/21/16,9,US,GA,Chatsworth,TRUE,23.00,512.58,99.83,824,55,organic,,1,,
20266810,-18.00,minnow,8/16/16,8/16/16,5/24/17,281,US,CA,San Francisco,FALSE,0.00,0.00,0.00,0,4,organic,,,,
20300176,116.00,minnow,8/18/16,8/18/16,11/2/16,76,US,FL,Jacksonville,TRUE,5.00,230.38,27.19,12,38,organic,,1,,
20483307,2424.00,dolphin,8/28/16,8/28/16,9/30/16,33,US,CA,South El Monte,TRUE,338.00,20959.33,2475.16,812,458,organic,,1,,
20543582,826.00,dolphin,9/1/16,9/1/16,9/7/16,6,US,FL,Orlando,TRUE,76.00,5625.58,701.96,11261,160,organic,,1,,
20649354,-21.00,minnow,9/8/16,9/8/16,12/5/16,88,US,FL,Fruitland Park,FALSE,3.00,265.90,6.27,0,11,organic,,1,,
20676694,268.00,dolphin,9/9/16,9/9/16,9/22/16,13,US,AZ,Phoenix,TRUE,30.00,3046.00,266.41,2196,64,organic,,1,,
20681322,347.00,dolphin,9/10/16,9/15/18,9/21/18,6,US,NY,Hinsdale,TRUE,46.00,6019.61,691.60,465,45,organic,,1,,
20818925,992.00,dolphin,9/19/16,9/19/16,9/26/16,7,ES,,"Estepona, Malaga",TRUE,3.00,4383.68,150.76,24,19,organic,,1,,
20831547,2721.00,dolphin,9/19/16,9/19/16,9/22/16,3,US,NC,Leicester,TRUE,338.00,7167.66,634.12,4448,921,organic,,1,,
21195517,237.00,sea_bass,10/12/16,10/12/16,9/17/17,340,GR,,Athens,TRUE,137.00,3532.43,303.30,8223,139,organic,,3,,
21201743,-1.00,minnow,10/12/16,2/2/18,,NaN,US,NC,Wilmington,TRUE,0.00,0.00,0.00,33,0,organic,,1,,
21345494,1165.00,dolphin,10/20/16,10/20/16,11/14/16,25,US,TX,Houston,TRUE,18.00,9186.54,302.65,77,39,organic,,1,,
21353998,197.00,minnow,10/21/16,10/21/16,11/4/16,14,CA,,Mississauga,FALSE,0.00,0.00,0.00,0,17,organic,,,,
21414467,132.00,minnow,10/24/16,10/24/16,11/28/16,35,US,MI,Saint Joseph,TRUE,10.00,768.00,62.82,620,29,organic,,1,,
21634133,408.00,minnow,11/7/16,11/7/16,11/15/17,373,US,FL,Ft. Lauderdale,TRUE,1.00,363.31,63.53,329,2,organic,,1,,
22345598,0.00,minnow,12/14/16,12/14/16,,NaN,US,TX,Wichita Falls,FALSE,0.00,0.00,0.00,0,0,organic,,1,,
22516513,16367.00,whale,12/22/16,12/22/16,12/26/16,4,US,CA,La Mirada,TRUE,42.00,17677.43,1250.85,39128,825,organic,,1,,
22646011,-18.00,minnow,12/30/16,12/30/16,2/25/17,57,US,WI,Wauwatosa,TRUE,2.00,40.84,3.13,42,5,organic,,,,
23310251,23.00,minnow,2/3/17,2/3/17,3/21/17,46,US,VA,Virginia Beach,TRUE,8.00,231.63,19.89,0,23,organic,,1,,
23400595,57.00,sea_bass,2/7/17,2/7/17,10/3/17,238,US,FL,Miami,FALSE,2.00,34.28,8.03,0,10,organic,,,,
23527266,1810.00,dolphin,2/13/17,2/13/17,2/23/17,10,US,FL,Healeah,TRUE,30.00,7138.03,805.33,1858,72,organic,,1,,
23912605,74.00,dolphin,3/4/17,3/4/17,4/30/17,57,VN,,vung tau,FALSE,16.00,694.12,70.84,0,49,organic,,,,
24233194,1866.00,dolphin,3/19/17,3/19/17,7/14/17,117,CA,,Scarborough,TRUE,90.00,19817.85,2074.81,2435,125,organic,,1,,
24347020,1024.00,dolphin,3/25/17,3/25/17,4/4/17,10,US,TX,Roma,TRUE,21.00,1241.87,146.48,0,133,organic,,,,
24459483,1089.00,minnow,3/30/17,3/30/17,4/18/17,19,US,TX,Dallas,FALSE,2.00,821.31,51.08,0,19,organic,,1,,
24809856,17.00,minnow,4/16/17,4/16/17,5/5/17,19,US,MD,Leonardtown,FALSE,0.00,0.00,0.00,0,6,organic,,,,
24985523,841.00,whale,4/25/17,4/25/17,5/15/17,20,US,NY,deerpark,FALSE,55.00,3596.61,312.97,0,95,organic,,1,,
25276792,-9.00,minnow,5/11/17,5/11/17,8/26/17,107,US,NJ,Rutherford,FALSE,2.00,606.00,122.62,0,3,organic,,,,
25422552,996.00,dolphin,5/18/17,5/18/17,2/3/18,261,US,CA,Upland,TRUE,100.00,5934.98,1456.37,287,100,organic,,1,,
25539141,1621.00,dolphin,5/24/17,5/24/17,6/14/17,21,US,CA,Walnut,TRUE,27.00,12024.20,888.19,1155,117,organic,,1,,
25539955,2369.00,dolphin,5/24/17,5/24/17,6/1/17,8,US,FL,West Melbourne,TRUE,163.00,20493.34,1512.05,13604,265,organic,,1,,
25540562,0.00,minnow,5/24/17,5/24/17,,NaN,US,CA,Templeton,TRUE,0.00,0.00,0.00,55,0,organic,,,,
25749904,275.00,dolphin,6/4/17,6/4/17,7/22/17,48,US,GA,Duluth,TRUE,204.00,4946.45,368.66,24,266,organic,,1,,
25932264,212.00,minnow,6/13/17,6/13/17,6/28/17,15,US,CA,Anaheim Hills,TRUE,5.00,631.95,88.39,0,13,organic,,,,
26018876,7.00,minnow,6/18/17,6/18/17,9/15/17,89,US,WV,Cairo,TRUE,5.00,97.34,5.92,147,9,organic,,1,,
26245036,41.00,dolphin,6/30/17,6/30/17,1/15/18,199,US,WA,Fife,TRUE,0.00,0.00,0.00,351,1,organic,,1,,
26272126,701.00,dolphin,7/2/17,7/2/17,7/5/17,3,US,DE,Wilmington,TRUE,197.00,5663.38,627.49,27206,282,organic,3,1,https://www.bonanza.com/users/26272126/offers/sales,
26458455,1914.00,dolphin,7/12/17,7/12/17,7/15/17,3,US,OK,OKLAHOMA CITY,TRUE,172.00,15527.95,1339.82,3527,245,organic,,1,,
26492070,238.00,minnow,7/14/17,7/14/17,7/26/17,12,LT,,Siauliai,FALSE,15.00,952.96,57.64,0,22,organic,,1,,
26545100,102.00,minnow,7/17/17,7/17/17,7/28/17,11,US,NY,Bloomingburg,FALSE,11.00,2511.88,156.82,0,19,organic,,1,,
26768547,0.00,minnow,7/29/17,7/29/17,,NaN,US,FL,Miami Gardens,FALSE,0.00,0.00,0.00,0,0,organic,,,,
26819186,0.00,minnow,8/1/17,8/1/17,2/7/18,190,US,CA,SANTA PAULA,TRUE,2.00,47.38,1.66,0,2,organic,,,,
26916038,-132.00,minnow,8/6/17,8/6/17,11/3/17,89,US,VA,Lebanon Church,TRUE,14.00,1544.82,107.32,1527,16,organic,,1,,
27031654,-1.00,minnow,8/12/17,8/12/17,8/25/17,13,CA,,Trois-Rivieres,FALSE,2.00,42.78,2.80,0,3,organic,,,,
27181386,500.00,dolphin,8/20/17,12/14/17,12/21/17,7,US,OH,CINCINNATI,TRUE,166.00,8322.89,620.64,2590,178,organic,,1,,
27209413,614.00,whale,8/21/17,8/21/17,2/26/18,189,US,TX,Carrollton,TRUE,6.00,3940.00,224.95,415,6,organic,,1,,
27293869,86.00,minnow,8/25/17,8/25/17,12/18/17,115,TH,,mueang,TRUE,8.00,3562.00,255.87,78,10,organic,,1,,
27551945,169.00,dolphin,9/7/17,9/7/17,10/28/17,51,US,CA,Irwindale,FALSE,0.00,0.00,0.00,0,11,organic,,1,,
27622174,0.00,minnow,9/11/17,9/11/17,9/27/17,16,US,VA,VA BCH,TRUE,12.00,314.18,24.15,584,16,organic,,1,,
27818793,1655.00,whale,9/20/17,9/22/17,10/2/17,10,US,IL,Crystal Lake,TRUE,55.00,7485.86,554.00,1607,98,organic,,1,,
27896483,28.00,whale,9/24/17,9/24/17,11/15/17,52,US,DE,New Castle,TRUE,9.00,1261.86,62.54,90563,10,organic,,1,,
27974235,5960.00,whale,9/28/17,9/28/17,10/1/17,3,US,NY,Speculator,TRUE,641.00,81904.09,6756.40,1883,852,organic,,2,,
28087573,-2.00,minnow,10/4/17,10/4/17,5/30/18,238,US,TN,Bristol,FALSE,1.00,12.99,1.17,0,1,organic,,,,
28282233,43.00,dolphin,10/14/17,10/14/17,10/20/17,6,US,FL,Miami,TRUE,9.00,370.97,49.44,4766,10,organic,,2,,
