id,user_id,paid_date,amount,type,subscription_term_length,state,is_first_payment,is_last_payment,free_trial,membership_level
2468393,32618361,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468522,32852025,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468530,31494779,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468559,22816909,6/11/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2468579,32856853,6/11/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468648,25657945,6/12/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2468672,29105578,6/12/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2468678,31234351,6/12/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2468694,32189025,6/12/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468732,32236499,6/12/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2468811,32835322,6/12/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2468944,31657723,6/12/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468948,1272882,6/12/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2468968,32817049,6/12/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2468990,32491758,6/12/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469030,24747564,6/12/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2469190,410405,6/13/18,40,MembershipPayment,1,refunded,FALSE,TRUE,FALSE,Gold
2469196,21084069,6/13/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469197,22119300,6/13/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469221,30399891,6/13/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469234,25156572,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469235,17136743,6/13/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2469247,32880247,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469249,32805754,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469268,32866021,6/13/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2469281,32876250,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469324,32861261,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469334,31625064,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469399,23164969,6/13/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469481,32879227,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469548,32326223,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469572,32882717,6/13/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469607,30431553,6/14/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469612,30591907,6/14/18,40,MembershipPayment,1,complete,FALSE,TRUE,FALSE,Gold
2469633,32246240,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2469649,32901972,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469650,32880902,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469707,21910801,6/14/18,40,MembershipPayment,1,refunded,TRUE,TRUE,FALSE,Gold
2469815,27989979,6/14/18,290,MembershipPayment,12,refunded,TRUE,TRUE,FALSE,Gold
2469862,18085115,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,FALSE,Gold
2469868,13327631,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469872,32291120,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
2469873,32598104,6/14/18,40,MembershipPayment,1,complete,TRUE,TRUE,TRUE,Gold
