id,https://www.bonanza.com/booths/,booth_id,seller_id,featured_category_id,profit_estimate,value_em,created_at,first_sale,DaysToSale,Days as User,profit_per_day,orders,d_per_order,source_em,city,state,country,items_for_sale,view_count,offers,conversion_rate,membership_level,feedback,rate,rating
22385206,https://www.bonanza.com/booths/3167934,3167934,22385206,11450,114.1,MINNOW,2/24/2014,2014-03-08,12,"1,758",$0.06,49,$2.33,4,Quanzhou,Fujian,CN,768,597,1,0.17%,0,3.00,6%,3.00
18788012,https://www.bonanza.com/booths/2882170,2882170,18788012,26395,159.26,SEA_BASS,8/3/2010,2018-02-04,"2,742","3,059",$0.05,187,$0.85,,Chicago Ridge,IL,US,1020,454,6,1.32%,0,14.00,7%,4.71
21749433,https://www.bonanza.com/booths/3115856,3115856,21749433,11450,307.62,MINNOW,11/14/2015,2015-12-02,18,"1,130",$0.27,59,$5.21,5,Ponte Vedra Beach,FL,US,823,375,2,0.53%,0,7.00,12%,4.43
32306879,https://www.bonanza.com/booths/4336045,4336045,32306879,0,64.82,SEA_BASS,5/23/2014,2014-05-27,4,"1,670",$0.04,29,$2.24,4,athens,attiki,GR,3,109,0,0.00%,0,3.00,10%,4.67
10605373,https://www.bonanza.com/booths/3427954,2002757,10605373,0,-1.37,MINNOW,12/3/2014,2014-12-12,9,"1,476",$0.01,48,$0.90,4,Raphine,Virginia,US,98,101,1,0.49%,0,5.00,8%,3.40
10745516,https://www.bonanza.com/booths/2015605,2015605,10745516,11233,427.29,DOLPHIN,1/7/2015,2015-01-07,0,"1,441",$0.30,88,$4.86,4,Seddons Corner,MB,CA,10292,540,2,0.37%,0,10.00,11%,5.00
30373125,https://www.bonanza.com/booths/4111510,4111510,30373125,1249,-0.03,SEA_BASS,4/18/2016,2016-04-29,11,974,$0.00,47,$0.00,8,Washington,DC,US,2712,1109,12,1.08%,2,2.00,4%,5.00
7018221,https://www.bonanza.com/booths/1373545,1373545,7018221,0,10671.3,DOLPHIN,8/30/2015,2015-10-02,33,"1,206",$8.85,1760,$6.06,,Colorado Springs,Colorado,US,11656,4276,20,0.47%,1,131.00,7%,4.76
4438631,https://www.bonanza.com/booths/4210299,853407,4438631,11700,493.95,MINNOW,9/16/2012,2012-11-15,60,"2,284",$0.03,216,$6.35,4,Fairport,NY,US,546,183,1,0.00%,0,19.00,10%,4.89
32361466,https://www.bonanza.com/booths/4341479,4341479,32361466,26395,494.6,SEA_BASS,4/23/2015,2015-10-20,180,"1,335",$0.37,167,$2.96,0,Brooklyn,New York,US,2384,627,1,0.16%,2,12.00,7%,3.83
400840,https://www.bonanza.com/booths/95688,95688,400840,11232,406.81,MINNOW,7/20/2010,2010-07-24,4,"3,073",$0.13,117,$3.48,3,moreno valley,CA,US,965,474,1,0.21%,0,24.00,21%,4.75
22133381,https://www.bonanza.com/booths/3147116,3147116,22133381,26395,293,MINNOW,12/1/2016,2016-12-07,6,747,$0.39,21,$13.97,4,Hobart,Okla,US,43,11,1,9.09%,1,4.00,19%,5.00
118087,https://www.bonanza.com/booths/48833,48833,118087,550,66.42,MINNOW,4/14/2014,2014-07-18,95,"1,709",$0.04,91,$0.73,,Hudson,NY,US,130,147,0,0.00%,0,31.00,34%,5.00
570466,https://www.bonanza.com/booths/3642999,118051,570466,267,105.98,MINNOW,7/17/2010,2010-08-21,35,"3,076",$0.05,163,$1.13,,Woodbury,CT,US,486,147,2,5.93%,0,26.00,7%,4.92
10848163,https://www.bonanza.com/booths/2029941,2029941,10848163,15032,11006.03,DOLPHIN,3/15/2017,2017-03-15,0,643,$17.12,2018,$5.45,4,Eldersburg,MD,US,7493,5447,27,0.50%,3,143.00,7%,4.33
31397584,https://www.bonanza.com/booths/4231325,4231325,31397584,11450,43.47,MINNOW,5/9/2016,2017-05-04,360,953,$0.05,8,$5.43,4,Ho Chi Minh,Go Vap,VN,328,11,0,0.00%,0,0.00,0%,NULL
22462572,https://www.bonanza.com/booths/3201984,3201984,22462572,0,-38.54,MINNOW,5/17/2014,2014-05-19,2,"1,676",-$0.02,24,-$1.61,4,Jiangyin,Jiangsu,CN,4,16,0,0.00%,0,4.00,17%,5.00
