seller_id,entry_source_em,profit_estimate,value_em,fees_paid,membership_paid
30310095,,9.75,0,11.31,0
30310438,,-0.76,0,0,0
30310562,,197.85,2,296.86,0
30310604,,-0.03,0,0,0
30310689,,2320.43,2,2152.1,840
30310849,,0,0,0,0
30311705,,6.29,0,4.41,0
30311783,,147.28,0,6.41,140
30311798,,-9.73,0,0,0
30312830,,51.44,2,91.32,0
30313691,,4.9,0,3.74,0
30313785,,-2.03,0,0,0
30314474,,-0.05,0,0,0
30314983,,2.39,0,0,0
30315105,,-0.75,0,0,0
30315600,,-1.06,0,0,0
30316439,,0,0,0,0
30317758,,778.03,0,222.15,700
30317779,,26.42,0,52.51,0
30318184,,139.78,1,308.85,0
30320875,,-6.03,2,8.92,0
30324472,,0,0,0,0
30325338,,6.43,0,6.86,0
30325670,,-0.02,0,0,0
30326091,,19.19,0,19.8,0
30326445,,-1.09,0,0,0
30326727,,1.1,0,31.24,0
30328229,,-0.35,0,0,0
30328665,,33.26,0,28.42,0
30328965,,444.71,0,28.77,440
30329242,,0,0,0,0
30329673,,30.21,0,40.79,0
30330546,,179.02,1,210.2,0
30330783,,-0.3,0,0,0
30330950,,0,2,0,0
30331006,,0,0,0,0
30331210,,0,0,0,0
30332084,,24.54,0,27.91,0
30332531,,0,0,0,0
30333139,,0,0,0,0
30333206,,103.2,1,122.68,0
30334850,,32.82,0,39.9,0
30334932,,-22.43,0,29.07,0
30337867,,-0.88,0,0,0
30339822,,47.39,1,58.58,0
30340724,,9544.14,3,9313.62,2546.95
30340993,,138.08,1,138.08,0
30343298,,696.13,0,42.17,660
30343506,,32.78,0,48.14,0
30345704,,290.08,2,354.25,0
30346457,,0,0,0,0
30349231,,-16.77,1,90.2,0
30351503,,5.87,0,7.21,0
30351902,,-0.01,0,0,0
30352441,,19.29,0,20.93,0
30353052,,34.5,0,57.75,0
30354019,,534.56,2,1302.92,290
30354053,,45,1,65.63,0
30354116,,-0.05,0,0,0
30354142,,-1.29,0,0,0
30355147,,2.57,0,3.51,0
30355965,,-5.85,0,0,0
30357127,,0,0,0,0
30357949,,59.07,0,72.01,0
30359761,-1,20,0,30.24,0
30360048,,0,0,0,0
30361928,,0.72,0,0,0
30363040,,6.91,0,33.11,0
30365524,,17.19,0,19.02,0
30366717,,1182.66,2,680.76,680
33178973,6,266.67,0,3.72,280
33158139,6,252.77,0,11,290
30369366,,-0.04,0,0,0
30369425,,194.24,1,121.76,80
30370308,,10.49,0,12.49,0
30371303,-1,-0.28,0,0,0
30371413,,0,0,0,0
30372160,8,0,0,0,0
30372357,,-0.02,0,0,0
30372364,,355.95,0,101.36,290
30373125,,1.52,1,34.48,0
30374423,,3325.16,3,2032.62,1870
30375557,,18.99,0,28.79,0
30375888,,0,0,0,0
30377181,,-0.07,0,0,0
30377796,,45.79,1,69.2,0
30378002,,15.47,0,19.12,0
30380996,,21.54,0,32.35,0
30384237,,54.5,2,89.72,0
30384288,,42.85,0,46.84,0
30384756,,-0.34,0,0,0
30386717,,565.2,2,1301.29,0
30387095,,11.27,0,4.08,0
30387854,,-1.66,0,0,0
30388102,,18.8,1,18.8,0
30388258,,-0.04,0,0,0
30389501,,43.23,0,41.67,0
30389504,,189.62,0,201.35,0
30390672,,21.51,0,22.75,0
30391176,,-14.54,0,0,0
30393321,,-0.56,0,0,0
30393718,,388.86,0,36.82,360
30394854,,1.53,0,0,0
30395328,,613.24,2,796.33,0
30395787,,-0.6,0,0,0
30396145,,73.37,0,77.03,0
30397099,,30.41,0,41.38,0
30398851,,-1.54,0,0,0
30399891,,207.24,0,22.69,200
30399925,,-3.15,0,0,0
30399971,,0,0,0,0
30400058,,4.5,0,8.4,0
30400638,,23.5,0,25.91,0
30400772,,6.22,0,6.75,0
30401327,,0,0,0,0
30403837,,84.07,0,195.87,0
30404642,-1,-0.14,0,0,0
30404713,,-26.06,0,1.65,0
30405870,,254.09,1,306.21,0
30408372,,0,0,0,0
30409405,,-1.11,0,0,0
30410187,,0,0,0,0
30410505,,-0.04,0,0,0
30410658,,-0.24,0,0,0
30411934,,5.14,0,0.9,0
30412929,,0,0,0,0
30413571,,37.78,0,47.32,0
30413941,,0.77,0,0.79,0
30415147,,-0.63,0,6.2,0
30417171,,-1.2,0,0,0
30417532,,0,0,0,0
30418800,,-0.04,0,0,0
30418871,,-0.91,0,0,0
30419809,,319.69,0,0,320
30419992,,9.61,0,14.61,0
30420523,,62.96,2,17.45,40
33495252,6,252.13,1,420.77,0
30421390,0,-0.52,0,0,0
30421721,,0,0,0,0
30421808,,295.35,2,4.25,290
30422318,,37.59,1,72.57,0
30422506,,336.91,2,481.2,0
30422962,,283.98,2,4.53,280
30424407,,290,0,0,290
30425872,,6.45,0,8.95,0
30426180,,203.31,2,278.68,0
30426857,,67.31,0,59.95,0
30428578,8,513.04,1,451.54,230
30428811,,16.41,2,49.06,0
30428875,,-1.11,0,0,0
30428951,,84.37,0,5.4,80
30429057,,-0.31,0,0,0
30429826,,-16.85,0,0,0
30431133,,16.44,0,21.15,0
33164916,6,244.92,0,0,260
30433712,,-0.1,0,0,0
30435656,,52.19,0,64.16,0
30435776,,2.43,0,4.41,0
30436226,,113.99,0,38.54,140
30437176,,-48.97,0,51.25,0
30437519,,0,0,0,0
30437804,,-0.64,0,0,0
30437812,,26.07,0,43.01,0
30437827,,280.74,0,0,290
30438805,,0,0,0,0
30438837,,4.59,0,4.68,0
30439618,,577.6,2,842.66,0
30440753,,-1.33,0,0,0
30442399,,5.65,0,3.37,0
30442847,,1.82,0,3.08,0
30443484,,78.14,0,75.55,0
30443673,,-0.48,0,0,0
30445264,,442.64,2,630.69,0
33312337,6,233.61,1,290.87,0
30446764,,0,0,0,0
30446768,,545.84,0,50.34,532
30449050,,-0.6,0,0,0
30449954,,3.3,0,3.8,0
30450172,,0,0,0,0
30450961,,293.05,0,12.58,290
30451623,,0,0,0,0
30451638,,336.59,2,470.13,0
30452033,,3.41,0,3.83,0
30452266,,270.52,0,16.82,290
30452348,,-2.91,0,0,0
30454284,,0,0,0,0
30454728,,0,0,0,0
30454735,,0,0,0,0
30455082,,47.22,0,9.82,40
30455160,-1,435.2,0,234.04,280
30455448,,-0.73,0,0,0
30455842,,5.66,0,12.06,0
30457548,,11.95,0,11.75,0
30458711,,37.08,1,43.52,0
30459596,,-9.66,0,10.2,0
30462345,,-0.06,0,0,0
30462372,,0,0,0,0
30462486,,188.53,0,8.95,180
30463788,,0.5,0,0.5,0
30463932,,0,0,0,0
30464747,,0,0,0,0
30464995,,-0.02,0,0,0
