id,amount,sold_on,fvf,source_em
53233190,39.11,4/6/18 9:16,5.05,8
53233325,59.97,4/6/18 8:07,7.75,8
53233411,87.9,4/6/18 8:07,7.91,8
53233576,19.79,4/6/18 8:20,0.69,6
53233820,24.7,4/6/18 8:39,2.34,8
53233959,34.2,4/6/18 8:50,2.25,8
53234017,34.41,4/6/18 8:57,3.1,8
53234058,143.43,4/6/18 9:00,5.02,8
53234198,12.04,4/6/18 9:13,2.07,8
53234269,13.37,4/6/18 9:15,0.83,8
53234864,50.42,4/6/18 9:47,4.54,8
53235017,7.29,4/6/18 9:40,0.66,4
53235275,178.1,4/6/18 9:45,10.42,8
53236546,159.96,4/6/18 10:29,5.6,4
53236830,34.2,4/6/18 10:53,1.94,8
53237314,39.99,4/9/18 19:32,7.44,8
53237842,34.5,4/6/18 11:59,3.11,8
53237937,34.83,4/8/18 13:27,3.44,8
53238060,17.9,4/6/18 12:23,1.61,8
53238542,43.32,4/6/18 12:53,5.17,8
53238640,84,4/6/18 13:04,11.84,8
53238710,18.69,4/6/18 13:29,0.65,8
53238843,24.31,4/6/18 14:46,2.32,8
53238927,95,4/6/18 13:24,12.35,8
53239470,38.98,4/6/18 14:00,4.42,8
53239517,34.2,4/6/18 14:03,2.34,8
53239570,19.79,4/6/18 14:06,1.78,8
53239614,19.79,4/6/18 14:09,1.78,8
53239775,34.5,4/6/18 14:22,3.11,8
53239791,10,4/6/18 14:24,0.63,8
53240053,43.95,4/6/18 14:41,3.96,8
53240392,17.77,4/6/18 15:08,5.33,8
53240473,41,4/6/18 15:51,5.6,8
53240611,49.44,4/6/18 15:26,6.43,8
53240803,13.99,4/6/18 15:45,1.26,8
53240896,19.79,4/6/18 15:48,0.69,6
53240946,284,4/6/18 15:51,0,0
53240999,10.35,4/6/18 15:55,0.93,8
53241159,17.85,4/6/18 16:09,0,8
53241582,23.75,4/7/18 17:45,2.14,8
53241714,38.77,4/6/18 16:53,3.49,8
53242144,44.42,4/6/18 17:26,5.77,8
53242151,18.93,4/6/18 17:29,1.87,4
53242340,17.98,4/6/18 17:39,1.62,8
53242584,260,4/6/18 17:57,23.4,8
53242691,24.99,4/6/18 18:02,4.75,8
53243115,90,4/6/18 18:38,10.26,8
53243399,284,4/6/18 18:57,0,0
53243614,90,4/7/18 15:40,5.83,3
53243681,23,4/6/18 19:12,3.04,8
53244102,95,4/6/18 19:47,12.35,8
53244307,34.5,4/6/18 20:04,3.11,8
53245057,38.5,4/6/18 21:04,2.25,8
53245660,45.18,4/6/18 22:12,4.07,8
53247547,34.2,4/6/18 23:10,1.88,8
53247672,43.95,4/7/18 23:24,3.96,8
53248756,299,4/7/18 0:50,10.47,8
53251199,95,4/7/18 2:22,12.35,8
53251851,96,4/7/18 4:19,7.74,8
53252448,254,4/7/18 5:36,0,0
53252525,29.4,4/7/18 5:47,5.59,8
53252573,29.97,4/7/18 5:49,8.99,8
53252782,30,4/7/18 6:19,1.81,8
53253000,34.5,4/7/18 6:35,3.11,8
53253466,87.9,4/7/18 7:20,7.91,8
53253552,249.18,4/7/18 7:25,29.9,8
53253933,284,4/7/18 8:00,0,4
53254365,69.08,4/17/18 15:13,2.42,0
53254431,73,4/7/18 8:28,4.99,8
53254488,27.84,4/17/18 15:13,0.97,0
53254658,284,4/7/18 8:43,0,4
53254878,59.98,4/7/18 9:04,7.52,8
53254905,140.38,4/7/18 9:09,19.76,4
53255057,34.2,4/7/18 9:18,2.03,8
53255310,39.99,4/9/18 7:50,3.96,8
53255458,12.65,4/7/18 10:04,1.14,8
53255461,34.95,4/7/18 9:47,1.22,3
53255675,28.96,4/7/18 10:07,2.61,8
53255910,25.5,4/7/18 10:46,3.32,8
53255924,90,4/7/18 10:22,10.43,8
53256205,19.05,4/7/18 10:40,1.35,8
53256508,11.88,4/7/18 10:59,1.07,8
53256707,254,4/7/18 12:38,0,4
53256736,20,4/7/18 11:16,1.8,8
53256877,254,4/7/18 11:25,0,0
53256973,21.8,4/7/18 14:40,0.7,8
53257082,32.05,4/7/18 11:40,2.88,8
53257110,169.95,4/7/18 11:47,12.08,8
53257187,22.7,4/7/18 12:15,2.45,8
53257209,133.6,4/7/18 11:56,7.7,8
53257353,13.74,4/7/18 12:15,1.07,8
53257480,63.47,4/7/18 12:15,9.48,22
53257543,9.41,4/7/18 12:20,0.85,8
53257613,95,4/7/18 12:29,12.35,8
53257698,43.95,4/7/18 12:28,3.96,4
53257921,34.2,4/7/18 13:01,1.94,8
53257999,43.95,4/7/18 12:49,3.96,8
53258119,36,4/10/18 17:30,2.53,8
53258135,101.9,4/7/18 12:55,9.17,8
53258140,15,4/7/18 12:53,0.97,8
53258210,21,4/7/18 12:59,2.08,8
53258309,13.36,4/7/18 13:13,0,8
53258489,22.5,4/7/18 13:17,0.79,8
53258869,95,4/7/18 13:50,12.35,8
53258904,11.76,4/7/18 13:50,1.12,8
53258939,47.68,4/7/18 13:59,4.29,8
53259181,284,4/7/18 14:24,0,0
53259281,25.96,4/7/18 14:11,2.34,8
53259462,79.98,4/7/18 15:08,10.4,8
53259519,43.95,4/7/18 14:26,3.96,8
53259573,95,4/7/18 14:30,12.35,8
53259807,96,4/7/18 14:41,7.74,8
53259963,43.95,4/7/18 14:53,3.96,8
53259977,57,4/7/18 14:55,7.52,8
53260358,60.61,4/7/18 15:40,5.45,8
53260546,34.2,4/7/18 15:33,2.19,8
53260810,34.2,4/7/18 15:53,2.09,4
53261365,48,4/7/18 16:37,4.32,8
53261581,284,4/7/18 16:43,0,0
53262183,29.68,4/7/18 17:20,3.86,8
53262466,23.5,4/7/18 17:39,2.12,8
53262873,35.96,4/7/18 18:55,3.24,8
53263250,34.2,4/7/18 18:37,2.43,8
53263372,12.98,4/7/18 19:21,1.69,8
53264040,47.5,4/7/18 19:37,1.66,5
53264309,7.26,4/7/18 19:51,0.94,8
53265066,102,4/10/18 0:16,13.26,8
53267212,138.58,4/8/18 11:32,12.47,8
53267347,16.98,4/7/18 23:47,2.21,4
53267389,179.8,4/8/18 0:15,23.37,8
53267479,114.94,4/8/18 0:15,19.94,8
53267972,284,4/8/18 1:28,0,0
53268097,57.9,4/9/18 2:34,9.1,8
53269213,284,4/8/18 4:52,0,4
53269690,95,4/8/18 5:43,0,8
53269928,280.61,4/8/18 6:32,25.25,8
53269986,102.6,4/8/18 5:50,6,8
53270977,67.25,4/8/18 6:59,5.81,8
53271096,13.58,4/8/18 7:16,1.77,8
53271098,72.95,4/8/18 7:11,6.45,8
53271111,95,4/8/18 7:14,9.76,4
53271264,18.69,4/8/18 8:06,0.65,8
53271417,224.82,4/8/18 7:39,19.33,8
53271445,254,4/8/18 7:44,0,4
53271953,39.11,4/8/18 8:28,5.5,8
53272004,28.03,4/8/18 8:38,3.64,8
53272153,43.95,4/8/18 8:43,3.96,8
53272231,104.84,4/8/18 8:50,13.63,8
53272324,74.99,4/8/18 9:00,14.25,8
53272851,254,4/8/18 9:40,0,0
53273277,14.99,4/8/18 10:59,0.52,8
53273279,284,4/8/18 10:08,9.59,26
53273341,9.44,4/8/18 10:14,0.81,8
53273662,34.58,4/8/18 10:38,1.21,8
53273789,239.8,4/12/18 19:50,,
53274063,9.89,4/12/18 5:17,,
53274179,136.8,4/8/18 11:27,8.99,8
53274198,33.43,4/8/18 11:30,3.01,8
53274203,94.04,4/8/18 11:30,8.46,8
53274219,29.39,4/8/18 11:30,2.65,8
53274344,26.63,4/8/18 11:19,1.74,8
53274489,95,4/8/18 11:32,7.9,3
53274654,284,4/12/18 17:10,0,4
53274729,78.31,4/8/18 11:48,7.05,8
53274759,29.97,4/9/18 10:55,0,0
53274984,49.99,4/8/18 12:04,4.68,8
53274988,30.36,4/8/18 12:03,2.73,8
53275018,295.95,4/8/18 12:09,38.47,8
53275357,72.95,4/8/18 12:32,7.4,8
53275427,55,4/8/18 13:03,0,0
53275488,5.8,4/8/18 12:58,0.57,4
53275932,31.99,4/8/18 13:10,1.12,8
53276512,95,4/8/18 13:49,8.03,8
53276577,13.99,4/8/18 15:28,1.26,8
53276690,29.97,4/8/18 14:03,8.99,8
53276895,118.95,4/11/18 14:40,15.46,8
53276914,43.95,4/8/18 14:16,3.96,8
53277275,43.95,4/8/18 14:47,3.96,8
53277363,284,4/8/18 14:42,0,4
53277391,8.32,4/8/18 14:39,0.75,8
53277718,18,4/8/18 14:51,1.61,8
53277736,34.2,4/8/18 14:52,2,8
53277896,52.99,4/8/18 15:01,3.44,8
53278101,90,4/8/18 15:14,10.43,8
53278126,26.16,4/8/18 15:20,2.28,8
53278685,239.8,4/12/18 19:51,,
53278719,24.79,4/8/18 15:56,1.33,8
53278766,239.8,4/12/18 19:50,,
53279061,63.24,4/8/18 16:12,6.79,8
53279375,13.99,4/8/18 16:31,1.26,8
53279468,19.75,4/8/18 16:53,2.43,8
53279531,9.41,4/8/18 16:35,0.85,8
53280055,36.45,4/8/18 17:07,1.28,22
53280168,29.43,4/8/18 17:18,2.36,8
53280255,87.9,4/8/18 17:19,7.91,8
53280300,72.95,4/8/18 17:26,2.55,0
53280976,34.2,4/8/18 18:08,2.09,8
53280998,59.98,4/8/18 18:08,7.8,8
53281259,29.75,4/8/18 18:23,2.25,8
53281563,34.2,4/8/18 18:44,2.31,8
53281625,87.9,4/8/18 18:55,7.91,8
