seller_id,offers,amount,order_value,sum_fvf,order_fvf_value
974221,1,8.99,8.99,0.50,0.50
974648,36,934.55,25.96,113.50,3.15
974977,2,23.03,11.52,0.50,0.25
975707,1,126.45,126.45,10.94,10.94
976044,1,254.01,254.01,21.96,21.96
978231,4,289.98,72.50,25.35,6.34
984113,1,46.55,46.55,4.19,4.19
984551,4,108.52,27.13,8.37,2.09
986697,2,54.07,27.04,1.22,0.61
990246,14,546.75,39.05,16.37,1.17
997019,2,550.00,275.00,23.30,11.65
1000485,1,77.28,77.28,2.41,2.41
1003116,1,25.64,25.64,2.72,2.72
1005177,1,17.40,17.40,2.60,2.60
1005491,2,23.79,11.90,2.26,1.13
1007060,6,41.65,6.94,2.21,0.37
1007702,1,119.70,119.70,4.19,4.19
1008736,1,118.75,118.75,15.44,15.44
1013925,1,6.92,6.92,2.97,2.97
1024485,1,58.17,58.17,4.34,4.34
1027995,1,10.82,10.82,1.60,1.60
1034446,1,12.00,12.00,0.50,0.50
1037672,1,35.10,35.10,1.23,1.23
1041755,1,13.53,13.53,0.50,0.50
1043076,6,208.17,34.70,13.40,2.23
1046546,1,179.99,179.99,15.30,15.30
1048752,1,18.69,18.69,0.65,0.65
1048971,2,98.87,49.44,18.79,9.40
1051812,9,916.34,101.82,134.74,14.97
1052799,2,100.80,50.40,10.60,5.30
1055403,1,27.54,27.54,3.58,3.58
1056113,2,425.85,212.93,53.29,26.65
1059459,6,270.58,45.10,35.16,5.86
1062711,1,50.09,50.09,5.21,5.21
1065750,2,1088.98,544.49,119.37,59.69
1067809,6,9394.99,1565.83,191.62,31.94
1068075,1,155.36,155.36,19.18,19.18
1070040,4,42.25,10.56,2.40,0.60
1070224,2,47.96,23.98,6.24,3.12
1072613,1,15.99,15.99,0.81,0.81
1075680,3,97.93,32.64,16.71,5.57
1076279,1,61.58,61.58,,0.00
1076615,3,35.62,11.87,1.50,0.50
1079724,1,6.00,6.00,0.50,0.50
1083259,1,131.62,131.62,10.95,10.95
1088076,15,345.74,23.05,4.19,0.28
1094748,1,6.33,6.33,0.50,0.50
1097218,1,83.95,83.95,2.73,2.73
1100154,2,12.92,6.46,1.59,0.80
1104988,2,18.29,9.15,1.00,0.50
1109366,1,8.95,8.95,0.57,0.57
1109645,1,7.99,7.99,1.04,1.04
1112303,2,22.53,11.27,4.28,2.14
1114528,6,1027.56,171.26,88.08,14.68
1115578,1,26.34,26.34,1.73,1.73
1118839,1,52.70,52.70,0.00,0.00
1122280,1,213.99,213.99,18.00,18.00
1123511,8,142.36,17.80,16.40,2.05
1125207,12,151.46,12.62,19.70,1.64
1132219,1,31.00,31.00,4.03,4.03
1141613,2,51.46,25.73,1.96,0.98
1147896,2,70.36,35.18,7.85,3.93
1152136,1,98.01,98.01,8.82,8.82
1153028,6,1029.00,171.50,133.77,22.30
1153830,2,143.24,71.62,12.89,6.45
1155935,1,27.29,27.29,0.00,0.00
1156094,1,15.00,15.00,2.85,2.85
1156110,1,64.43,64.43,0.00,0.00
1156555,1,25.00,25.00,3.25,3.25
1158182,10,182.40,18.24,29.20,2.92
1164306,1,24.60,24.60,0.72,0.72
1168346,3,140.95,46.98,12.55,4.18
1171320,3,73.83,24.61,1.71,0.57
1172907,3,98.00,32.67,7.38,2.46
1176697,3,317.10,105.70,26.29,8.76
1182232,2,85.31,42.66,7.68,3.84
1186817,1,15.23,15.23,0.00,0.00
1187990,1,17.59,17.59,1.58,1.58
1187995,16,769.32,48.08,62.10,3.88
1189909,1,29.70,29.70,3.86,3.86
