id,sold_on,purchased_at
60906735,4/17/19 11:01,4/18/19 13:03
60906855,4/17/19 11:08,4/18/19 10:55
60906889,4/17/19 11:09,
60905788,4/17/19 11:10,
60906909,4/17/19 11:14,4/21/19 11:51
60906926,4/17/19 11:16,4/18/19 10:33
60907005,4/17/19 11:18,4/17/19 14:52
60907110,4/17/19 11:25,4/19/19 6:59
60907094,4/17/19 11:27,4/18/19 7:46
60900143,4/17/19 11:28,4/20/19 18:38
60907011,4/17/19 11:28,4/18/19 17:56
60907150,4/17/19 11:41,4/21/19 11:49
60906805,4/17/19 11:43,4/18/19 10:57
60907213,4/17/19 11:43,
60907281,4/17/19 11:52,
60907221,4/17/19 11:56,
60904310,4/17/19 11:57,4/17/19 12:01
60907380,4/17/19 12:02,4/17/19 14:54
60907507,4/17/19 12:02,4/18/19 14:55
60907529,4/17/19 12:03,4/17/19 23:50
60907645,4/17/19 12:10,4/21/19 11:48
60907476,4/17/19 12:19,4/18/19 7:50
60907774,4/17/19 12:21,4/18/19 5:55
60907761,4/17/19 12:22,
60904402,4/17/19 12:36,4/17/19 14:49
60907980,4/17/19 12:36,4/18/19 11:53
60907923,4/17/19 12:40,4/18/19 7:52
60907977,4/17/19 12:41,4/18/19 9:51
60908038,4/17/19 12:42,4/22/19 10:26
60907940,4/17/19 12:44,4/18/19 14:43
60908057,4/17/19 12:45,4/19/19 15:01
60908108,4/17/19 12:49,
60908132,4/17/19 12:59,
60908236,4/17/19 12:59,4/19/19 6:34
60845287,4/17/19 13:01,
60908239,4/17/19 13:01,4/18/19 7:20
60908059,4/17/19 13:04,4/18/19 11:25
60908223,4/17/19 13:06,4/17/19 22:53
60908293,4/17/19 13:11,
60908337,4/17/19 13:11,
60908440,4/17/19 13:15,4/18/19 7:17
60908413,4/17/19 13:16,4/29/19 16:35
60908544,4/17/19 13:26,4/29/19 15:08
60908563,4/17/19 13:37,4/18/19 18:54
60908720,4/17/19 13:39,4/18/19 8:17
60908587,4/17/19 13:43,
60908826,4/17/19 13:50,
60908870,4/17/19 13:51,
60903332,4/17/19 13:51,4/18/19 14:58
60908760,4/17/19 13:55,4/25/19 13:26
60909119,4/17/19 14:04,4/18/19 7:54
60909218,4/17/19 14:11,4/21/19 11:47
60909494,4/17/19 14:23,4/21/19 6:17
60909633,4/17/19 14:37,
60909607,4/17/19 14:37,4/21/19 11:46
60909008,4/17/19 14:38,4/17/19 19:13
60909732,4/17/19 14:44,
60909763,4/17/19 14:46,
60909981,4/17/19 15:04,4/17/19 15:43
