seller_id,committed,item_count,booth_id,initial_booth_activation,entry_source_em,inventory_source_em,parent_booth_id,entry_url,entry_query,fees_paid,membership_paid,profit_estimate,value_em
36412684,TRUE,6,4741158,12/18/18,google_text_ad,1,,https://www.google.com/,,0,0,0,0
36411375,TRUE,2,4741225,12/16/18,email,,,Direct,,0,0,0,0
36412854,TRUE,7,4741228,12/16/18,organic,1,,https://www.google.com/,,0,120,120,0
36413496,TRUE,760,4741239,12/16/18,google_text_ad,1,,https://www.google.com/,,0,0,-0.25,0
36413623,TRUE,1,4741249,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
29417099,TRUE,0,4741291,12/16/18,google_shopping,,,https://www.google.com/,,0,0,-0.04,0
36414145,FALSE,0,4741292,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36414576,TRUE,2,4741320,12/16/18,organic,1,,https://www.google.com/,,0,290,290,0
35201279,FALSE,0,4741338,12/16/18,unknown,1,,,,0,0,0,0
36415060,TRUE,0,4741357,12/16/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36414993,TRUE,0,4741369,12/16/18,unknown,,,,,0,0,0,0
34665551,TRUE,0,4741412,12/16/18,unknown,,,,,0,0,0,0
36415777,TRUE,0,4741415,12/16/18,direct,5,,Direct,,0,0,0,0
36415892,TRUE,4,4741432,12/16/18,email,,,https://www.google.com/,,0,0,-0.02,0
36153193,FALSE,0,4741433,12/16/18,direct,,,Direct,,0,0,-2.41,1
36415963,TRUE,806,4741447,12/16/18,direct,,,Direct,,0,0,-6.97,0
36416202,TRUE,0,4741454,12/16/18,unknown,,,,,0,0,0,0
36416480,TRUE,0,4741494,12/16/18,unknown,,,,,0,0,0,0
36416656,TRUE,0,4741513,12/16/18,unknown,,,,,0,0,0,0
36416642,FALSE,0,4741525,12/16/18,unknown,,,,,4.56,0,-60.84,0
36416859,TRUE,0,4741533,12/16/18,google_shopping,1,,https://www.google.com/,,21.99,0,14.28,0
36416880,TRUE,3,4741534,12/16/18,unknown,1,,,,0,0,-0.02,0
36417121,FALSE,0,4741561,12/16/18,unknown,,,,,0,0,0,0
36417329,TRUE,0,4741588,12/16/18,unknown,,,,,0,0,0,0
36417332,TRUE,3,4741596,12/20/18,unknown,4,,,,0,0,0,0
36417433,TRUE,171,4741597,12/16/18,direct,1,,Direct,,0,0,-0.07,0
36417485,TRUE,3,4741598,12/16/18,affiliate,,,Direct,,0,40,40,0
36417494,TRUE,155,4741600,12/17/18,unknown,1,,,,97.07,0,-6.02,3
36417748,TRUE,0,4741622,12/16/18,organic,1,,https://www.google.com/,,0,0,0,0
36417844,FALSE,0,4741636,12/16/18,direct,,,Direct,,0,0,-0.6,0
36417874,TRUE,491,4741638,12/16/18,other_search,,,https://www.baidu.com/link?url=0PNEp4OhBg8MsWj5jdIQtV9LdmroT9ksft7bwu1Dp95MDe8G04o9OEzykrzeU5yE&wd=&eqid=eab7a4440000e930000000045c174045,,0,0,-1.87,0
36417900,TRUE,1,4741647,12/16/18,unknown,,,,,0,0,0,0
36417976,FALSE,0,4741656,12/16/18,unknown,,,,,0,0,0,0
36418243,TRUE,2,4741686,12/16/18,unknown,,,,,0,0,-1.66,0
36418364,FALSE,0,4741694,12/16/18,direct,,,Direct,,0,0,-22.19,0
36418502,TRUE,1,4741711,12/17/18,google_text_ad,,,https://www.google.com/,,9.47,0,8.41,0
36418487,TRUE,10,4741718,12/16/18,unknown,,,,,0,0,0,0
36419050,TRUE,0,4741780,12/17/18,unknown,,,,,0,0,0,0
36419033,FALSE,0,4741787,12/17/18,unknown,,,,,0,0,0,0
36419310,TRUE,0,4741802,12/17/18,google_text_ad,,,https://www.google.com/,,0,0,0,0
36419775,FALSE,0,4741861,12/17/18,organic,,,https://www.google.com/,,0,0,0,0
36420058,TRUE,0,4741881,12/17/18,unknown,3,,,,0,0,0,0
36420588,TRUE,10,4741932,12/17/18,other,,,https://hackernoon.com/top-5-most-popular-online-marketplaces-how-to-join-the-champions-league-a313dbdfd338,,3.89,0,3.14,0
36420991,TRUE,0,4741968,12/17/18,unknown,1,,,,0,0,0,0
36420835,TRUE,1,4741975,12/17/18,direct,,,Direct,,0,0,0,0
36421060,FALSE,0,4741984,12/17/18,search_seller_targeted,,,https://www.google.com/,,0,0,-0.11,0
36420866,TRUE,0,4741990,12/17/18,other,,,https://apps.cedcommerce.com/marketplace-integration/bonanza/bonanza-install/index,,0,0,0,0
36421443,TRUE,0,4742032,12/17/18,unknown,,,,,0,0,0,0
36421468,FALSE,0,4742039,12/19/18,direct,1,,Direct,,0,0,0,0
36421418,TRUE,0,4742050,12/17/18,direct,,,Direct,,0,0,0,0
36421660,TRUE,0,4742067,12/21/18,unknown,,,,,0,0,0,0
36421852,TRUE,4772,4742099,12/17/18,organic,3,,https://www.google.com/,,127.58,200,47.19,1
36422002,TRUE,0,4742107,12/17/18,direct,,,Direct,,0,0,0,0
36422280,TRUE,0,4742111,12/17/18,unknown,,,,,0,0,0,0
36422554,TRUE,2,4742151,12/17/18,organic,,,https://www.google.com.au/,,0,0,0,0
36422272,FALSE,0,4742172,12/17/18,affiliate,,,Direct,,0,0,0,0
36422698,TRUE,100,4742178,12/17/18,organic,1,,Direct,,0,0,-0.06,0
36422885,TRUE,1,4742199,12/17/18,unknown,,,,,0,0,0,0
